year,quarter,growth,price
2008,Q1,,6178.3
2008,Q2,,6876.2
2008,Q3,,7113.3
2008,Q4,,7126.2
2009,Q1,5.9,6545.2
2009,Q2,5.2,7234.2
2009,Q3,6.8,7595.8
2009,Q4,2.7,7315.3
2010,Q1,1.9,6670.7
2010,Q2,1.5,7342.9
2010,Q3,3.2,7836.4
2010,Q4,3.9,7597.2
2011,Q1,2.7,6849.6
2011,Q2,2.7,7544.0
2011,Q3,2.9,8064.7
2011,Q4,3.3,7845.1
2012,Q1,3.3,7072.9
2012,Q2,2.1,7701.0
2012,Q3,2.1,8235.2
2012,Q4,2.3,8023.0
2013,Q1,2.2,7227.1
2013,Q2,3.5,7969.7
2013,Q3,2.6,8447.9
2013,Q4,2.6,8232.3
2014,Q1,3.5,7480.0
2014,Q2,2.6,8175.7
2014,Q3,3.3,8726.4
2014,Q4,3.9,8554.2
2015,Q1,2,7626.2
2015,Q2,2.2,8356.5
2015,Q3,2.9,8981.9
2015,Q4,2.9,8802.6
2016,Q1,2.4,7811.1
2016,Q2,1.9,8512.8
2016,Q3,1.9,9149.9
2016,Q4,2.3,9006.5
2017,Q1,2.8,8026.3
2017,Q2,2.9,8756.2
2017,Q3,2.4,9367.4
2017,Q4,2.1,9194.9
2018,Q1,2,8188.3
2018,Q2,2,8933.0
2018,Q3,1.8,9537.2
2018,Q4,1.6,9341.6
2019,Q1,1.7,8328.5
2019,Q2,1.5,9069.3
2019,Q3,1.9,9722.9
2019,Q4,2.2,9547.7
2020,Q1,1.4,8442.5
2020,Q2,-3.1,8790.0
2020,Q3,-1.7,9560.0
2020,Q4,-1,9453.3
2021,Q1,1.8,8595.5
2021,Q2,4.7,9201.4
2021,Q3,4.3,9972.5
2021,Q4,4.1,9836.3
2022,Q1,2.7,8825.8
2022,Q2,3.1,9489.5
2022,Q3,2.8,10250.9
2022,Q4,2.4,10072.5
2023,Q1,3.5,9135.7
2023,Q2,3.1,9783.1
2023,Q3,3.1,10568.2
2023,Q4,2.9,10360.7
*2024,Q1,2.5,9368.4
*2024,Q2,2.5,10031.6
*2024,Q3,2.5,10832.2
*2024,Q4,2.6,10634.0
**2025,Q1,2.7,9618.4
**2025,Q2,2.8,10308.1
**2025,Q3,2.8,11136.7
,,,
*Preliminary Annually Estimates,,,
**Preliminary Quarterly Estimates,,,
