year,quarter,growth,Primary / utilities,Industry / construction,Trade / transport / hospitality,Business / finance / real estate,Public / social / personal service
2009,Q1,5.9,-2.4,7.4,4.2,2.1,6.5
2009,Q2,5.2,-3.9,4.6,-2.1,3.2,3.7
2009,Q3,6.8,-15.2,3.0,4.4,3.7,3.7
2009,Q4,2.7,-6.7,2.4,5.4,5.6,3.8
2010,Q1,1.9,-5.5,2.7,-1.7,11.7,2.9
2010,Q2,1.5,5.2,-1.5,-5.6,10.7,0.2
2010,Q3,3.2,18.9,1.2,-3.4,8.4,3.1
2010,Q4,3.9,14.2,0.5,-2.2,9.7,3.8
2011,Q1,2.7,11.5,-3.4,2.5,4.8,3.1
2011,Q2,2.7,7.0,4.0,4.6,3.1,3.0
2011,Q3,2.9,5.6,4.1,2.4,2.7,3.5
2011,Q4,3.3,6.2,3.9,3.3,2.6,3.3
2012,Q1,3.3,2.8,4.2,3.5,3.3,3.1
2012,Q2,2.1,-14.7,1.7,8.3,5.2,2.9
2012,Q3,2.1,-9.1,1.5,5.9,5.2,1.2
2012,Q4,2.3,-10.3,1.6,3.6,5.0,6.3
2013,Q1,2.2,-11.0,3.5,5.3,3.5,3.5
2013,Q2,3.5,7.4,3.9,3.7,3.6,1.7
2013,Q3,2.6,-3.6,3.5,4.5,3.4,1.3
2013,Q4,2.6,-8.7,4.3,3.8,3.5,4.6
2014,Q1,3.5,3.5,3.8,3.5,3.0,4.3
2014,Q2,2.6,1.5,1.8,5.6,2.2,1.6
2014,Q3,3.3,10.5,3.6,4.0,1.6,2.1
2014,Q4,3.9,22.8,1.4,2.3,1.5,3.0
2015,Q1,2,6.0,0.8,1.8,1.5,2.1
2015,Q2,2.2,3.1,1.9,3.2,1.9,2.3
2015,Q3,2.9,11.2,0.2,2.4,1.9,5.3
2015,Q4,2.9,11.1,1.2,2.7,0.9,3.5
2016,Q1,2.4,4.6,1.2,2.5,2.3,3.1
2016,Q2,1.9,-0.8,0.8,2.0,2.4,3.9
2016,Q3,1.9,2.3,0.5,2.1,2.4,3.1
2016,Q4,2.3,0.8,3.0,2.8,2.3,2.9
2017,Q1,2.8,10.6,1.1,2.1,3.2,1.2
2017,Q2,2.9,12.1,1.5,2.3,3.3,1.1
2017,Q3,2.4,3.5,1.8,3.8,3.2,0.1
2017,Q4,2.1,4.7,-0.1,4.7,2.9,0.0
2018,Q1,2,1.7,0.4,4.2,3.2,0.2
2018,Q2,2,-0.5,1.5,4.0,3.4,0.7
2018,Q3,1.8,0.4,1.5,3.7,3.2,0.3
2018,Q4,1.6,-0.1,1.9,3.8,3.5,0.6
2019,Q1,1.7,3.1,1.2,2.6,3.8,1.6
2019,Q2,1.5,7.2,2.0,1.1,3.9,2.0
2019,Q3,1.9,5.7,2.9,0.7,4.3,2.8
2019,Q4,2.2,4.8,2.2,-0.4,4.3,2.4
2020,Q1,1.4,1.2,2.4,-4.8,4.3,1.4
2020,Q2,-3.1,-2.3,-4.0,-12.7,1.5,-2.6
2020,Q3,-1.7,-0.1,-2.7,-8.5,1.3,-2.2
2020,Q4,-1,-0.2,-2.3,-7.2,1.3,-0.8
2021,Q1,1.8,5.9,-0.8,4.6,0.5,0.8
2021,Q2,4.7,3.8,4.4,12.6,1.9,4.0
2021,Q3,4.3,4.8,3.8,11.8,1.7,3.4
2021,Q4,4.1,3.8,4.7,12.2,1.4,3.1
2022,Q1,2.7,4.9,3.7,3.5,2.7,1.4
2022,Q2,3.1,7.6,4.2,4.5,2.9,2.0
2022,Q3,2.8,7.4,4.0,3.7,2.3,2.1
2022,Q4,2.4,4.6,3.2,3.1,2.0,3.1
2023,Q1,3.5,6.5,6.1,4.3,2.5,3.0
2023,Q2,3.1,6.3,4.7,3.7,2.3,2.7
2023,Q3,3.1,2.9,5.2,4.0,2.3,3.1
2023,Q4,2.9,5.3,4.8,1.6,2.1,2.6
2024,Q1,2.5,5.6,3.1,1.8,2.5,2.2
2024,Q2,2.5,2.3,2.5,3.3,1.9,2.1
2024,Q3,2.5,5.5,3.0,2.0,1.5,1.1
2024,Q4,2.6,5.3,3.5,3.3,1.9,0.0
2025,Q1,2.7,3.3,4.4,2.8,1.6,2.0
2025,Q2,2.8,5.9,4.3,3.0,1.7,1.4
2025,Q3,2.8,6.0,4.4,3.0,1.7,1.4
2025,Q4,3,6.3,4.7,3.1,1.7,1.6
,,,,,,,
*2024: Preliminary Annually Estimates,,,,,,,
*2025: Preliminary Quarterly Estimates,,,,,,,
