year,quarter,level,primary / utilities,manufacturing / construction,trade / transport / hospitality,business / finance / real estate,public / social / personal service,Net tax
2008,Q1,6178.3,723.9,1233.2,937.2,1353.2,1267.7,663
2008,Q2,6876.2,735.8,1432.1,975.8,1389,1464.5,878.9
2008,Q3,7113.3,740.2,1609.9,1117.7,1471.5,1433.1,740.9
2008,Q4,7126.2,850.8,1554.6,917.3,1420,1497.9,885.6
2009,Q1,6545.2,706.8,1324.5,976.6,1381.7,1350.5,805
2009,Q2,7234.2,707.4,1497.9,955.6,1433.1,1519.1,1121.1
2009,Q3,7595.8,627.6,1657.6,1166.8,1525.5,1485.8,1132.4
2009,Q4,7315.3,793.8,1591.3,966.6,1499.8,1554.5,909.2
2010,Q1,6670.7,667.7,1360.2,960.4,1543.1,1389.2,750.1
2010,Q2,7342.9,744.1,1475.4,902.4,1586.5,1521.4,1113.1
2010,Q3,7836.4,746,1677.3,1127,1653.4,1531.7,1100.9
2010,Q4,7597.2,906.2,1599.9,945.1,1645.1,1613.9,887.1
2011,Q1,6849.6,744.2,1313.5,984.7,1617.7,1432.7,756.8
2011,Q2,7544,796.3,1533.9,943.5,1635.5,1567.3,1067.4
2011,Q3,8064.7,788.1,1746.3,1154.5,1697.5,1586,1092.3
2011,Q4,7845.1,962.7,1661.7,976.2,1687.2,1666.8,890.5
2012,Q1,7072.9,765.2,1368.3,1018.9,1670.3,1477.7,772.5
2012,Q2,7701,679.2,1560.3,1021.7,1720.8,1612.2,1106.8
2012,Q3,8235.2,716.1,1771.7,1222.6,1785.8,1604.4,1134.6
2012,Q4,8023,863.1,1688.1,1010.9,1771.8,1772.6,916.5
2013,Q1,7227.1,681.2,1415.6,1073.3,1728,1529.8,799.3
2013,Q2,7969.7,729.7,1621.3,1059.1,1781.9,1640.2,1137.5
2013,Q3,8447.9,690.6,1834.2,1277.3,1846.8,1625.5,1173.5
2013,Q4,8232.3,788.1,1760.9,1049,1833.5,1854.1,946.7
2014,Q1,7480,705.1,1468.7,1110.7,1779.7,1595.4,820.5
2014,Q2,8175.7,740.8,1650.4,1118.1,1820.7,1667,1178.7
2014,Q3,8726.4,763.5,1900.8,1328.8,1875.5,1659.1,1198.7
2014,Q4,8554.2,967.5,1786.1,1073.5,1861.6,1909.7,955.8
2015,Q1,7626.2,747.4,1479.8,1130.5,1806.7,1629.1,832.6
2015,Q2,8356.5,763.5,1681.3,1154.4,1854.5,1705.8,1197.1
2015,Q3,8981.9,848.7,1905.3,1360.5,1911.4,1746.4,1209.6
2015,Q4,8802.6,1074.6,1808.4,1102.8,1877.5,1976.5,962.9
2016,Q1,7811.1,781.7,1497.3,1158.9,1847.5,1680.1,845.5
2016,Q2,8512.8,757.2,1694.5,1178,1898.7,1771.7,1212.7
2016,Q3,9149.9,868.2,1913.9,1388.7,1957.7,1800.6,1220.8
2016,Q4,9006.5,1083.1,1863.1,1133.9,1921.3,2034.2,970.9
2017,Q1,8026.3,864.6,1513.1,1183.6,1905.8,1700.1,859.1
2017,Q2,8756.2,849.1,1720.5,1205,1961.4,1791.6,1228.7
2017,Q3,9367.4,898.5,1947.9,1441.9,2021,1801.8,1256.4
2017,Q4,9194.9,1133.4,1861.7,1186.9,1977.7,2035,1000.1
2018,Q1,8188.3,879.6,1519.3,1232.9,1967,1704.1,885.4
2018,Q2,8933,844.6,1745.7,1253,2028.7,1803.3,1257.6
2018,Q3,9537.2,901.6,1977.7,1494.6,2085.5,1807.7,1270
2018,Q4,9341.6,1132.5,1897.1,1231.9,2046,2048,986.1
2019,Q1,8328.5,906.7,1538,1265,2041.9,1730.8,846
2019,Q2,9069.3,905.7,1780.2,1267.3,2107.9,1839.3,1168.8
2019,Q3,9722.9,952.7,2034.2,1505.5,2174.5,1857.6,1198.4
2019,Q4,9547.7,1187.3,1938.9,1226.8,2134.4,2096.6,963.7
2020,Q1,8442.5,917.5,1574.4,1204.6,2128.8,1754.3,862.9
2020,Q2,8790,884.8,1709.5,1106.4,2140.1,1791,1158.2
2020,Q3,9560,951.4,1978.5,1377,2202.6,1816,1234.5
2020,Q4,9453.3,1185.2,1894.6,1138.3,2162,2080.4,992.7
2021,Q1,8595.5,971.9,1561.8,1259.7,2139.1,1767.5,895.5
2021,Q2,9201.4,918.4,1784.7,1246,2181.1,1862.2,1209
2021,Q3,9972.5,996.9,2053,1539.9,2239.5,1877.9,1265.4
2021,Q4,9836.3,1230.7,1983.1,1276.7,2193.1,2145.8,1006.9
2022,Q1,8825.8,1019.2,1619.3,1304,2197.1,1792,894.1
2022,Q2,9489.5,988.3,1860.4,1302.1,2244.8,1899.2,1194.7
2022,Q3,10250.9,1070.5,2135.9,1596.2,2290.7,1917.6,1240
2022,Q4,10072.5,1287,2045.9,1315.9,2237.4,2211.8,974.4
2023,Q1,9135.7,1085.2,1718.1,1360.5,2252.5,1845.5,873.8
2023,Q2,9783.1,1050.7,1948.6,1350,2296.8,1950.9,1186
2023,Q3,10568.2,1101.4,2247.9,1659.6,2343.9,1976.8,1238.8
2023,Q4,10360.7,1354.7,2143.9,1336.3,2285.3,2268.6,971.9
2024,Q1,9368.4,1146.1,1770.6,1385.4,2308.1,1886.1,872.3
2024,Q2,10031.6,1074.7,1996.5,1394.2,2341.6,1991.7,1232.9
2024,Q3,10832.2,1162.4,2315.7,1692.5,2378.7,1998.2,1284.8
2024,Q4,10634,1426.6,2218.9,1381.1,2329.6,2269,1008.8
2025,Q1,9618.4,1184,1848,1423.8,2344.4,1923,895
2025,Q2,10308.1,1138.1,2081.6,1435.7,2382,2019.1,1251.7
2025,Q3,11136.7,1232.3,2417.1,1743.3,2419.8,2025.3,1298.9
2025,Q4,10958.1,1516.8,2322.7,1424.2,2369.7,2304.5,1020.2
,,,,,,,,
*2024: Preliminary Annually Estimates,,,,,,,,
