Fiscal Year,国内総生産(支出側): 名目,国内総生産(支出側): 実質,国・地方PB,デフレーター,総合CPI,名目GDP成長率,実質GDP成長率,GDPギャップ,潜在成長率,PB対GDP,公債等残高対GDP,インフレDf,インフレCPI,名目金利
1995,534.7,479.2,-18.2,111.6,95.8,2.4,3,-0.2,1.5,-3.4,,-0.5,-0.2,
1996,549.4,493.5,-17.4,111.3,96.2,2.7,3,1.4,1.4,-3.2,,-0.3,0.4,
1997,552.3,493.8,-13.3,111.8,98.1,0.5,0,0.2,1.2,-2.4,,0.4,2,
1998,541,486.7,-49.4,111.1,98.3,-2,-1.4,-2.3,1,-9.1,,-0.6,0.2,
1999,536.9,489.9,-32.3,109.6,97.8,-0.8,0.7,-2.6,1,-6,,-1.4,-0.5,
2000,545.8,503.7,-27.4,108.4,97.2,1.7,2.8,-0.8,0.9,-5,,-1.1,-0.6,
2001,535.4,499.6,-26.3,107.2,96.3,-1.9,-0.8,-2.5,0.9,-4.9,,-1.1,-0.9,
2002,530.5,503.8,-28.3,105.3,95.7,-0.9,0.8,-2.5,0.9,-6.4,113.4,-1.8,-0.6,1.1
2003,532.4,513.2,-27.6,103.7,95.5,0.4,1.9,-1.6,0.9,-5.7,120.9,-1.5,-0.2,1.1
2004,534.6,521.2,-20.2,102.6,95.4,0.4,1.6,-0.9,0.9,-4,129,-1.1,-0.1,1.5
2005,538.9,533,-13.8,101.1,95.2,0.8,2.3,0.5,0.8,-3.3,133.4,-1.5,-0.2,1.4
2006,542.8,541.2,-8.7,100.3,95.4,0.7,1.5,1.5,0.6,-2.4,133.2,-0.8,0.2,1.7
2007,543.8,547.5,-6.8,99.3,95.8,0.2,1.2,2.4,0.3,-2.2,134.3,-1,0.4,1.6
2008,522.5,529.3,-14.5,98.7,96.8,-3.9,-3.3,-1.1,0.1,-4.5,140.4,-0.6,1,1.4
2009,500.8,513,-36.1,97.6,95.2,-4.1,-3.1,-4.3,0.1,-9,156.4,-1.1,-1.7,1.3
2010,509.2,530.5,-31.7,96,94.7,1.7,3.4,-1.3,0.3,-7.8,162.5,-1.6,-0.5,1.1
2011,504.2,533.1,-32.2,94.6,94.6,-1,0.5,-1.4,0.6,-7.7,170.8,-1.5,-0.1,1
2012,504.5,537.2,-27.6,93.9,94.4,0.1,0.8,-1.4,0.8,-7,177.8,-0.7,-0.2,0.8
2013,519.2,552.5,-27.3,94,95.2,2.9,2.8,0.3,1,-6.2,180.4,0.1,0.8,0.7
2014,533.7,554.4,-20.1,96.3,98,2.8,0.3,-0.4,1.1,-4,181,2.4,2.9,0.4
2015,551.9,564.4,-15.7,97.8,98.2,3.4,1.8,0.4,1,-2.5,180.5,1.6,0.2,0.3
2016,556.3,567.9,-15.6,98,98.2,0.8,0.6,0.1,0.9,-2.4,183.3,0.2,0,-0.1
2017,567.7,578.2,-12.2,98.2,98.9,2,1.8,1.3,0.7,-2,183.3,0.2,0.7,0
2018,569.9,581.4,-10.9,98,99.6,0.4,0.6,1.4,0.5,-1.6,186,-0.2,0.7,0
2019,570.6,575.9,-14.8,99.1,100.1,0.1,-0.9,0.1,0.3,-2.4,187.7,1.1,0.5,-0.1
2020,554.3,554.3,-50.5,100,99.9,-2.9,-3.8,-4.1,0.4,-9.4,204.1,0.9,-0.2,0
2021,576.6,576.1,-33.5,100.1,100,4,3.9,-0.7,0.5,-5.6,203.8,0.1,0.1,0.1
2022,591.7,584.4,-20.5,101.3,103.2,2.6,1.4,0.2,0.5,-3,204.1,1.2,3.2,0.3
2023,619.4,584,-13.2,106.1,106.3,4.7,0,-0.2,0.4,-1.7,198.5,4.7,3,0.6
2024,642.4,586.8,-11.3,109.5,109.5,3.7,0.5,-0.2,0.5,-1.8,194.9,3.2,3,1.1
2025,669.2,,-7,,,4.2,1.1,0.3,0.6,-1,194.2,3.1,2.6,1.7
2026,691.9,,-0.8,,,3.4,1.3,0.8,0.8,-0.1,188.2,2,1.9,2.1
2027,703.1,,3.9,,,1.6,0.6,0.7,0.7,0.6,187.1,1.1,1.4,2.1
2028,711.9,,6.7,,,1.2,0.5,0.6,0.6,0.9,186.9,0.7,1.1,2
2029,720.5,,7.1,,,1.2,0.5,0.5,0.6,1,187,0.7,1.1,2
2030,729.2,,7.2,,,1.2,0.5,0.4,0.6,1,187.4,0.7,1.1,2
2031,737.9,,7.2,,,1.2,0.5,0.4,0.5,1,187.8,0.7,1.1,1.9
2032,746.6,,7,,,1.2,0.5,0.4,0.5,0.9,188.4,0.7,1.1,1.9
2033,755.2,,6.7,,,1.2,0.5,0.4,0.5,0.9,189,0.7,1.1,1.8
2034,763.5,,6.5,,,1.1,0.4,0.4,0.4,0.9,189.9,0.7,1.1,1.8
2035,771.7,,6,,,1.1,0.4,0.4,0.4,0.8,191,0.7,1.1,1.7
