Fiscal Year,国内総生産(支出側): 名目,国内総生産(支出側): 実質,国・地方PB,デフレーター,総合CPI,名目GDP成長率,実質GDP成長率,GDPギャップ,潜在成長率,PB対GDP,公債等残高対GDP,インフレDf,インフレCPI,名目金利
1995,534.7,479.2,-18.2,111.6,95.8,2.4,3,-0.2,1.5,-3.4,,-0.5,-0.2,
1996,549.4,493.5,-17.4,111.3,96.2,2.7,3,1.4,1.4,-3.2,,-0.3,0.4,
1997,552.3,493.8,-13.3,111.8,98.1,0.5,0,0.2,1.2,-2.4,,0.4,2,
1998,541,486.7,-49.4,111.1,98.3,-2,-1.4,-2.3,1,-9.1,,-0.6,0.2,
1999,536.9,489.9,-32.3,109.6,97.8,-0.8,0.7,-2.6,1,-6,,-1.4,-0.5,
2000,545.8,503.7,-27.4,108.4,97.2,1.7,2.8,-0.8,0.9,-5,,-1.1,-0.6,
2001,535.4,499.6,-26.3,107.2,96.3,-1.9,-0.8,-2.5,0.9,-4.9,,-1.1,-0.9,
2002,530.5,503.8,-33.9,105.3,95.7,-0.9,0.8,-2.5,0.9,-6.4,,-1.8,-0.6,
2003,532.4,513.2,-30.3,103.7,95.5,0.4,1.9,-1.6,0.9,-5.7,,-1.5,-0.2,
2004,534.6,521.2,-21.4,102.6,95.4,0.4,1.6,-0.9,0.9,-4,,-1.1,-0.1,
2005,538.9,533,-17.6,101.1,95.2,0.8,2.3,0.5,0.8,-3.3,,-1.5,-0.2,
2006,542.8,541.2,-13,100.3,95.4,0.7,1.5,1.5,0.6,-2.4,,-0.8,0.2,
2007,543.8,547.5,-11.7,99.3,95.8,0.2,1.2,2.4,0.3,-2.2,,-1,0.4,
2008,522.5,529.3,-23.4,98.7,96.8,-3.9,-3.3,-1.1,0.1,-4.5,,-0.6,1,
2009,500.8,513,-45.3,97.6,95.2,-4.1,-3.1,-4.3,0.1,-9,,-1.1,-1.7,
2010,479.2,,-30.9,,,1.1,3.1,-1.6,0.4,-6.5,178.3,-2,,1.1
2011,483.8,,-27.1,,,1,1.5,-0.7,0.6,-5.6,177.4,-0.5,,1.4
2012,490.3,,-24,,,1.3,1.8,0.4,0.7,-4.9,182.7,-0.5,,1.6
2013,496.8,,-22.4,,,1.3,1.5,1.2,0.7,-4.5,187.8,-0.2,,1.7
2014,504.2,,-21.7,,,1.5,1.4,1.9,0.7,-4.3,192.5,0.1,,1.9
2015,510.9,,-21.7,,,1.3,1,2.1,0.8,-4.2,197.5,0.3,,2.1
2016,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,
2020,558.1,,-23.2,,,1.8,1.1,,1.1,-4.2,221.9,0.7,,3.2
2021,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,
2023,587.3,,-24.6,,,1.7,1.1,,1.1,-4.2,240.2,0.6,,3.7
